title,release_date,popularity,vote_count,vote_average,genres,actor,director
나루토 질풍전 극장판 6기 - 로드 투 닌자,2012-07-28,137.275,792,7.6,"[{'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 28, 'name': '액션'}]","[9706, 82055, 82057]",[1067794]
테드 : 황금도시 파이티티를 찾아서,2012-08-10,126.893,456,6.1,"[{'id': 12, 'name': '모험'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[19854, 114463, 1164823]",[1074721]
호빗: 다섯 군대 전투,2014-12-10,162.465,12426,7.3,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}]","[1327, 7060, 30315]",[108]
드래곤볼Z: 신들의 전쟁,2013-03-30,134.147,1289,6.8,"[{'id': 16, 'name': '애니메이션'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[20664, 78402, 90496]",[1083453]
헝거게임: 모킹제이,2014-11-19,157.902,13928,6.8,"[{'id': 12, 'name': '모험'}, {'id': 53, 'name': '스릴러'}, {'id': 878, 'name': 'SF'}]","[27972, 72129, 96066]",[10943]
쥬라기 월드,2015-06-06,128.401,18588,6.7,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 53, 'name': '스릴러'}, {'id': 878, 'name': 'SF'}]","[17181, 18997, 73457]",[930707]
컨저링,2013-07-18,215.815,9875,7.5,"[{'id': 27, 'name': '공포'}, {'id': 53, 'name': '스릴러'}]","[3127, 17178, 21657]",[2127]
인사이드 아웃,2015-06-09,166.242,18379,7.9,"[{'id': 12, 'name': '모험'}, {'id': 16, 'name': '애니메이션'}, {'id': 18, 'name': '드라마'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[19278, 56322, 169200]",[12890]
인터스텔라,2014-11-05,243.82,29823,8.4,"[{'id': 12, 'name': '모험'}, {'id': 18, 'name': '드라마'}, {'id': 878, 'name': 'SF'}]","[1813, 10297, 83002]",[525]
분노의 질주: 더 세븐,2015-04-01,134.209,9382,7.2,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 53, 'name': '스릴러'}, {'id': 80, 'name': '범죄'}]","[8167, 12835, 18918]",[2127]
빅 히어로,2014-10-24,172.739,14029,7.7,"[{'id': 12, 'name': '모험'}, {'id': 16, 'name': '애니메이션'}, {'id': 28, 'name': '액션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[66580, 82093, 515510]",[70238]
아메리칸 스나이퍼,2014-12-25,126.561,11467,7.4,"[{'id': 28, 'name': '액션'}, {'id': 10752, 'name': '전쟁'}]","[23459, 51329, 59219]",[190]
메이즈 러너,2014-09-10,211.756,15079,7.2,"[{'id': 28, 'name': '액션'}, {'id': 53, 'name': '스릴러'}, {'id': 878, 'name': 'SF'}, {'id': 9648, 'name': '미스테리'}]","[115150, 527393, 1310760]",[1179066]
19곰 테드2,2015-06-25,175.263,6421,6.3,"[{'id': 14, 'name': '판타지'}, {'id': 35, 'name': '코미디'}]","[13240, 52139, 71070]",[52139]
그레이의 50가지 그림자,2015-02-11,215.169,10536,5.9,"[{'id': 18, 'name': '드라마'}, {'id': 53, 'name': '스릴러'}, {'id': 10749, 'name': '로맨스'}]","[49971, 118545, 1254583]",[1137903]
퓨리,2014-10-15,180.188,10337,7.5,"[{'id': 18, 'name': '드라마'}, {'id': 28, 'name': '액션'}, {'id': 10752, 'name': '전쟁'}]","[287, 454, 33235]",[19769]
블렌디드,2014-05-21,132.89,2931,6.8,"[{'id': 35, 'name': '코미디'}]","[19292, 63234, 69597]",[57370]
Ｍ家の新妻　変態洗礼,2009-03-27,187.394,5,3.5,"[{'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]","[1510322, 1510323, 2139374]",[1079324]
샌 안드레아스,2015-05-27,136.388,7409,6.2,"[{'id': 18, 'name': '드라마'}, {'id': 28, 'name': '액션'}, {'id': 53, 'name': '스릴러'}]","[17832, 18918, 109513]",[132876]
컨저링 2,2016-06-08,195.851,7165,7.3,"[{'id': 27, 'name': '공포'}, {'id': 53, 'name': '스릴러'}]","[17178, 21657, 1330999]",[2127]
카 3: 새로운 도전,2017-06-15,151.793,4758,6.8,"[{'id': 12, 'name': '모험'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[887, 2955, 1374727]",[1443386]
주토피아,2016-02-11,263.455,14400,7.7,"[{'id': 12, 'name': '모험'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[417, 17605, 23532]",[76595]
